task_name;task_description;score;used
MonetaryValueDetection27;"**Auxiliary Task 1: Identify mentions of currency or specific monetary amounts.**

**Task Description:**
The objective of this auxiliary task is to determine if a customer service query explicitly contains references to currency symbols (e.g., $, £, €), currency names (e.g., USD, GBP, dollars, pounds, euros), or specific monetary values (e.g., ""an extra fee,"" ""1 charge,"" ""a pound""). The successful completion of this task aids the LLM in developing a granular understanding of financial denominations and values present in text. This skill is critical for accurately classifying queries, particularly those concerning unexpected charges on statements (`extra_charge_on_statement`) and requests involving currency exchange operations (`exchange_via_app`), as it helps the model isolate and prioritize financially relevant language patterns.";14.166666666666666;6
FinancialTransactionReview28;"Here is the task description for Auxiliary Task 2:

**Task Description:**

**Auxiliary Task 2: Identify queries that inquire about or review a financial transaction.**

This task aims to train the LLM to recognize when a customer is asking about a specific past, current, or pending financial transaction or activity on their account. This includes queries questioning the presence, amount, or reason for a charge, fee, or payment, or seeking clarification on a transaction's status. Successfully identifying such queries will significantly help the model distinguish `extra_charge_on_statement` queries from other categories by focusing on the core intent of reviewing an account's financial ledger. It helps the model understand that the user is scrutinizing a monetary event rather than reporting a security breach or requesting a currency conversion.";14.25;4
fraud_detection29;"**Auxiliary Task 3: Identify queries that report unauthorized or suspicious activity.**

**Task Description:**
This auxiliary task trains the LLM to recognize when a customer is reporting or expressing concern about activity on their account or card that they did not authorize or that seems fraudulent. This includes explicit mentions of unauthorized use, theft, hacking, or general suspicion about transactions or account security. By learning to detect these specific signals, the model can more accurately distinguish `compromised_card` queries from other types of financial inquiries.

*   **Label:** `reports_suspicious_activity`
*   **Examples:**
    *   `{text: ""Somebody used my card without my knowledge!"", label: ""reports_suspicious_activity""}`
    *   `{text: ""I think someone is using my card without my permission!"", label: ""reports_suspicious_activity""}`
    *   `{text: ""How do I report possible fraudulent activity on my account?"", label: ""reports_suspicious_activity""}`
    *   `{text: ""My wallet was stolen and all my credit cards were in there. HELP?!!?"", label: ""reports_suspicious_activity""}`
    *   `{text: ""Someone must have found my card details as I don't recognize these transactions."", label: ""reports_suspicious_activity""}`
    *   `{text: ""I think someone has hacked my card!"", label: ""reports_suspicious_activity""}`";12.333333333333334;3
mentions_financial_record30;"**Task Description for Auxiliary Task 1:**

**Task Name:** Identify queries mentioning a financial record or statement.

**Description:** The goal of this auxiliary task is to train the LLM to recognize when a customer's query explicitly refers to a personal financial document or record, such as a ""statement,"" ""transaction history,"" or ""account overview."" This helps the model understand that the query pertains to a review of past financial activity, which is a key indicator for issues like an `extra_charge_on_statement`. The LLM should assign the label `mentions_financial_record` to any text where the customer references such a document to inquire about specific entries or overall status.";13.0;4
CompromisedCardQueryDetection31;"**Task Description for Auxiliary Task 2: Identify queries indicating unauthorized or suspicious activity.**

This auxiliary task trains the LLM to recognize and extract language patterns that signal unauthorized access, fraudulent actions, or suspicious activity related to a customer's financial accounts or cards. By focusing on keywords and phrases like ""without my knowledge,"" ""without my permission,"" ""fraudulent activity,"" or ""someone is using my card,"" the model learns to identify the core intent of a customer reporting a security concern. This granular understanding is vital for accurately classifying queries into the `compromised_card` category, helping the LLM distinguish these critical security reports from other types of financial inquiries.";14.6;5
CurrencyExchangeIntent32;"**Task Description for Auxiliary Task 3: Identify queries expressing an intent to exchange or convert currencies.**

This auxiliary task trains the LLM to recognize when a customer's query indicates a desire to exchange or convert one currency to another. By teaching the model to associate specific language patterns, keywords (e.g., ""exchange,"" ""convert,"" specifying different currency codes like USD, GBP), and phrases with this core intent, it enhances the LLM's ability to accurately classify queries into the `exchange_via_app` category. This helps the model differentiate between general financial inquiries and those specifically about currency conversion functionalities within the application.";14.4;5
InAppFXQuery35;"**Auxiliary Task 3: Identify if the query is an inquiry about currency exchange functionality within the app.**

**Task Description:** This task trains the LLM to recognize queries where customers are asking about the capability or process of exchanging different currencies (e.g., USD, GBP) *specifically within the context of the mobile application*. The goal is to distinguish these feature-specific inquiries from general questions about currency or other app functionalities.";14.8;5
MonetaryProblemDetection36;"**Task Description for Auxiliary Task 1:**

**Task:** The model should classify whether a customer service query expresses an issue or problem related to a financial transaction or a specific charge on their account.

**Purpose:** This task helps the LLM learn to identify and group queries that indicate a problem with money movement, such as unexpected charges, unauthorized transactions, or failed payments. By doing so, it provides a foundational understanding of 'problematic financial events', which can then be further refined to distinguish between specific issues like an extra charge on a statement (`extra_charge_on_statement`) versus a compromised card (`compromised_card`) or a declined payment (`declined_card_payment`). This hierarchical understanding can improve the model's ability to categorize related issues more accurately.";13.8;5
currency_exchange_intent37;"**Auxiliary Task:** Identify if the query expresses an intent to exchange currencies.
**Task Description:** This auxiliary task aims to identify customer queries where the user explicitly or implicitly expresses a desire or need to convert one currency to another. The label `currency_exchange_intent` should be applied when the text indicates a clear intention to perform a currency exchange, regardless of the method (e.g., app, website, in-person) or the specific currencies involved. This helps the LLM recognize the core financial action of currency conversion, which is fundamental to the `exchange_via_app` category, by building a stronger understanding of related vocabulary and phrasing.";13.5;6
AppExplicitRef38;"**Auxiliary Task: Identify if the query explicitly references the 'app' or 'application' for a specific action.**

**Task Description:**
This auxiliary task aims to train the LLM to identify when a customer's query specifically mentions or refers to the ""app"" or ""mobile application"" as the context or tool for their intended action. By learning to recognize these explicit references, the model can better understand if a user is asking about functionality *within* the application, rather than a general query about a service. This is particularly helpful for distinguishing `exchange_via_app` queries, which require app-specific context, from general currency exchange questions that might be handled through other channels or methods. It helps the LLM isolate the ""channel"" aspect of the user's request.";14.0;4
FinancialEventDetection39;"Here is the task description for Auxiliary Task 1:

**Auxiliary Task 1: Identify queries related to any financial charge or transaction.**

**Task Description:** For a given customer query, classify it with the label `financial_charge_or_transaction` if the query discusses any kind of monetary charge, fee, payment, transaction, or financial debit/credit event. This includes questions about charges on statements, payments made or declined, unauthorized transactions, or any mention of money moving into or out of an account. The goal is to help the model learn to distinguish between queries that involve a financial event (regardless of whether it's a legitimate charge, a suspicious activity, or a failed payment) and those that do not. This will provide a foundational layer of understanding for categories like `extra_charge_on_statement` and `compromised_card`, while helping to separate them from purely informational or app-feature related queries like `exchange_via_app`.";13.75;4
SuspiciousActivityDetection40;"**Task Description for Auxiliary Task 2:**

**Task:** Identify queries indicating suspicious or unauthorized account/card activity.

**Description:** This auxiliary task trains the LLM to recognize language patterns and keywords that signal a user is reporting or inquiring about potential fraud, unauthorized transactions, or compromised account/card security. The goal is to build a robust internal representation for queries where a user's financial assets or identity might be at risk. Queries should be labeled `suspicious_activity_reported` if they contain explicit mentions or strong implications of:

*   Transactions or charges not made by the user.
*   Someone else using their card or account.
*   Stolen card details or account credentials.
*   Fraudulent activity.
*   Unusual or unexpected activity that raises security concerns.
*   Requests to block a card or account due to suspected unauthorized use.

This task is crucial for distinguishing between legitimate charges (`extra_charge_on_statement`) and malicious, unauthorized charges (`compromised_card`), and for flagging urgent security-related inquiries.";14.75;4
app_feature_query41;"Here is the task description for the generated auxiliary task number 3:

**Auxiliary Task: Identify queries related to using features or performing actions within the application/platform.**

**Task Description:**
This auxiliary task aims to train the LLM to recognize when a customer's query is specifically about how to use a function, feature, or perform an action *within the provided application or digital platform*. This is crucial for distinguishing between general information seeking and direct requests about app functionality. For instance, it helps the model differentiate ""What is currency exchange?"" (which is not this label) from ""How can I exchange currency *in the app*?"" (which is this label). By learning to identify these ""how-to"" or ""can I do X in the app"" type questions, the model will better understand the context of user intent, especially for categories like `exchange_via_app` which directly relate to in-app actions. The label for this task is `app_feature_query`.";14.5;4
lost_card42;"**Task Description for Auxillary Task 1: `lost_card`**

This task aims to help the LLM differentiate between scenarios where a customer's physical card is lost or stolen, and cases where their card *data* has been compromised (e.g., fraudulent transactions without the physical card being missing). While both relate to card security, `compromised_card` focuses on unauthorized transactions due to data breaches, whereas `lost_card` specifically addresses the absence of the physical card itself. By training on `lost_card`, the LLM will learn to identify explicit mentions of a missing physical card, preventing misclassification of these queries as `compromised_card` and ensuring the model can distinguish between these distinct security-related issues.";13.333333333333334;3
GeneralVsExtraCharge43;"**Auxiliary Task 2: Distinguish general transaction inquiries from extra/unexpected charges.**

*   **Task Description:** This task helps the LLM differentiate between customer queries that are simply asking for details or clarification about a *known or expected* transaction on their statement (e.g., ""What was this Spotify charge for?"") and queries where the customer is expressing surprise, confusion, or concern about an *unexpected, unknown, or extra* charge (which would fall under `extra_charge_on_statement`). By learning to identify general transaction inquiries, the model can better pinpoint the specific intent of disputing or questioning an ""extra"" charge versus just seeking information about a valid one.";13.0;7
app_general44;"**Task Description for Auxiliary Task 3: `app_general_query`**

This auxiliary task aims to train the LLM to differentiate between customer queries that are *specifically* about currency exchange functionality within the application (which would map to `exchange_via_app`) and more *general* inquiries about other features, settings, or navigation within the app.

By exposing the model to texts labeled `app_general_query`, we help it understand the scope of `exchange_via_app`. This contrast teaches the LLM to look for explicit mentions of ""exchange,"" ""convert,"" or ""currency"" when classifying `exchange_via_app`, preventing it from incorrectly classifying any question related to the app as a currency exchange query. It helps the model become more precise in identifying queries uniquely focused on the currency exchange feature, improving the accuracy of the `exchange_via_app` classification by reducing false positives from general app support requests.";14.166666666666666;6
monetary_detection45;"**Auxiliary Task Description:**

**Task Name:** Identify Mentions of Monetary Amounts or Fees

**Task Description:** The LLM is presented with customer service query texts. The task is to determine if the text explicitly or implicitly mentions a specific monetary amount, a charge, a fee, or any form of financial transaction cost. The model should output the label `monetary_amount` if such a mention is present, indicating that a financial figure or cost is being discussed. This task is designed to train the model to recognize and focus on the financial aspects and numerical values within queries, which is crucial for accurately distinguishing queries about unexpected charges (like `extra_charge_on_statement`) from other types of inquiries. The model should identify keywords and patterns associated with prices, fees, charges, specific currency amounts (e.g., ""$5"", ""ten pounds"", ""a euro fee""), or general terms like ""cost"" or ""expense"" when referring to a transaction.";14.2;5
`FraudReportIntent`46;"**Task Description for ""Detect Intent for Unauthorized Activity Reporting"":**

The LLM should identify if the customer's query expresses concern or a direct statement about unauthorized use of their card or account, or if they are reporting suspected fraudulent activity. This task helps the model specifically recognize the intent to report an unapproved transaction or account compromise, which is crucial for distinguishing `compromised_card` queries from other types of financial inquiries.";13.25;4
`CurrencyExchangeIntent`47;"**Task description for Auxiliary Task 3: Recognize Currency Exchange Intent**

This task helps the model to specifically pinpoint user intent around changing one currency to another, a key component of the `exchange_via_app` category. It allows the model to learn the vocabulary associated with currency conversion, regardless of the ""app"" context.";14.333333333333334;6
IsTransaction48;"**Description:** This task aims to train the LLM to identify when a customer's query is focused on a specific financial transaction or an event related to money movement. This helps the model recognize the core subject of the query as a financial event, which is foundational for understanding `extra_charge_on_statement`, `declined_card_payment`, and aspects of `compromised_card` (as fraudulent activity often manifests as unrecognized transactions). By learning to spot ""transaction-related"" language (e.g., ""charge,"" ""fee,"" ""payment,"" ""statement,"" ""debit,"" ""credit""), the model can better differentiate these queries from others discussing card delivery or app features.";15.0;6
SecurityFraudDetect49;"**Auxiliary Task 2: Security or Fraud Concern Detection**

**Description:** This task helps the LLM specifically recognize language patterns associated with security breaches, unauthorized account access, or potential fraudulent activity. By training on this task, the model learns to identify direct or indirect mentions of suspicious activity, unrecognized transactions, or concerns about account security. This skill is crucial for accurately classifying queries under the `compromised_card` category, enabling the LLM to differentiate genuine security concerns from other types of transaction-related or general inquiries. It teaches the model to key into phrases indicating a user believes their financial security has been breached.

**Example Task Format:**
`{text: ""Somebody used my card without my knowledge!"", label: ""security_fraud""}`";13.333333333333334;6
app_action_query50;"### Auxiliary Task 3: App Functionality/Capability Inquiry

**Description:** This task focuses on teaching the LLM to identify queries where a user is asking about the capabilities, features, or possible actions they can perform within the application itself. This is particularly relevant for `exchange_via_app` queries, which often involve asking about the app's ability to facilitate currency exchange. By training on this, the model learns to distinguish between general questions and those specifically inquiring about in-app functionality, aiding in the correct classification of `exchange_via_app` and similar future categories.

**Example Task Format:**
`{text: ""Can I use this app to exchange currencies?"", label: ""app_action_query""}`";14.5;4
monetary_mention_detection51;"**Task Description for Auxiliary Task 1: Identify mentions of monetary values or currencies (`monetary_mention`)**

**Objective:** The goal of this task is to identify customer queries that explicitly contain references to monetary values, specific currencies, or general terms used to quantify money or financial amounts.

**Criteria for Labeling:** Apply the `monetary_mention` label if the text includes:
*   **Specific currency symbols or codes:** Such as $, €, £, ¥, USD, GBP, AUD, etc.
*   **Numerical amounts directly associated with money:** For instance, ""1 dollar"", ""five pounds"", ""20.50"", ""a fee of ten"".
*   **Words or phrases that clearly refer to a quantifiable financial amount:** This includes terms like ""charge"", ""fee"", ""payment"", ""amount"", ""balance"", ""funds"", ""money"" when the context implies a specific or general quantifiable value.

**Do NOT Label:**
*   General financial terms or product names that do not quantify money (e.g., ""card"", ""account"", ""statement"" by themselves, ""loan"" if not referring to a specific amount).
*   Discussions about financial concepts or services without a direct or implied quantifiable monetary reference.

**Examples of when to label `monetary_mention`:**
*   {text: ""What was the $1 charge for on my statement?"", label: ""monetary_mention""}
*   {text: ""I need to exchange 50 USD to GBP."", label: ""monetary_mention""}
*   {text: ""There's an extra fee of two pounds on my account."", label: ""monetary_mention""}
*   {text: ""Why am I being charged an extra pound?"", label: ""monetary_mention""}
*   {text: ""How much money do I have in my account?"", label: ""monetary_mention""}
*   {text: ""I need to check my balance."", label: ""monetary_mention""}

**Examples of when NOT to label `monetary_mention`:**
*   {text: ""I lost my credit card."", label: ""N/A""} (No monetary mention)
*   {text: ""Can I view my statement in the app?"", label: ""N/A""} (While a statement contains monetary info, the query itself doesn't explicitly mention it.)
*   {text: ""What are your banking hours?"", label: ""N/A""} (No monetary mention)";13.75;4
PastEventQuery52;"**Auxiliary Task 2: Identify queries focused on past or historical transactions/events.**
This task helps the LLM distinguish between queries about current status, future actions, or capabilities versus issues stemming from something that has already happened. This is highly relevant for `extra_charge_on_statement` (a past charge) and `compromised_card` (past unauthorized activity).

*   **Label:** `past_event_query`
*   **Examples:**
    *   {text: ""What was the $1 charge for on my statement?"", label: ""past_event_query""}
    *   {text: ""Somebody used my card without my knowledge!"", label: ""past_event_query""}
    *   {text: ""Why was my payment declined yesterday?"", label: ""past_event_query""}

---

**Task Description for Auxiliary Task 2: Identify queries focused on past or historical transactions/events.**

This auxiliary task trains the LLM to recognize when a customer's query pertains to an event, transaction, or situation that has already occurred. By explicitly labeling queries that describe past incidents or ask for explanations about historical data, the model learns to identify the temporal context of the user's issue. This is particularly valuable for differentiating between proactive inquiries (e.g., ""Can I exchange currencies?"") and reactive problem-solving queries (e.g., ""Why was I charged an extra fee?""). Improved understanding of temporal focus directly benefits classification for categories like `extra_charge_on_statement` (which involves a charge already present on a statement) and `compromised_card` (which reports unauthorized activity that has already taken place). It helps the model understand that the user is seeking an explanation or resolution for something that has transpired, rather than asking about a future action or current status.";13.8;5
App_Usage_Inquiry53;"**Auxiliary Task 3: Identify queries asking about the possibility or method of performing an action within the application.**

This task aims to train the LLM to recognize when a customer is inquiring about specific functionalities or capabilities offered by the banking application itself. By learning to identify phrases like ""Can I use this app..."", ""How can I... in the app?"", or ""Is it possible... within the application?"", the model develops a stronger understanding of user intent related to app-specific features. This is particularly beneficial for classifying queries like `exchange_via_app`, as it directly hones the model's ability to pick up on the ""app"" and ""capability"" aspects, distinguishing them from general questions about exchanges or issues with card usage. It helps the LLM isolate the ""how-to-do-it-in-the-app"" component of a query, which is a key differentiator for the `exchange_via_app` category.";13.857142857142858;7
account_activity_inquiry54;"Here is the task description for Auxiliary Task 1:

**Task Description for `account_statement_query`**

This auxiliary task trains the LLM to identify customer queries that revolve around accessing, viewing, or understanding their bank or account statements, transaction history, or general account activity. The purpose is to build a foundational understanding of the semantic space related to reviewing financial records.

By learning to recognize these general `account_statement_query` patterns, the model can better contextualize more specific problem queries like `extra_charge_on_statement` and `compromised_card`. Both of these main categories inherently involve the user looking at or referring to their statement/transactions. This auxiliary task helps the LLM distinguish between a user simply wanting to *see* their statement (general inquiry) versus a user *identifying a problem* within their statement (specific classification target). It teaches the model to key into phrases related to ""statement,"" ""transactions,"" ""activity,"" and ""balance,"" preparing it to then analyze those statements for issues.";14.75;4
unrecognized_transaction55;"**Task Description for Auxiliary Task: `unrecognized_transaction`**

**Purpose:** This auxiliary task aims to train the LLM to identify when a customer explicitly states they do not recognize or understand a transaction on their account or card. By focusing on the core concept of an unfamiliar or unauthorized transaction, the model learns to detect a crucial signal that directly bridges to both `extra_charge_on_statement` (where the charge is unexpected but might be legitimate) and `compromised_card` (where the charge is genuinely fraudulent). This helps the model differentiate between general inquiries about statements and specific concerns about transactions that the user did not initiate or cannot explain, improving its ability to correctly classify these two distinct, but related, problem categories. The task emphasizes phrases like ""I don't recognize,"" ""What is this charge?"", ""I didn't make this,"" or ""unfamiliar activity.""";14.333333333333334;3
FX_Conversion56;"**Auxiliary Task: `currency_conversion_request`**

**Task Description:**
This auxiliary task is designed to help the LLM identify queries where the user expresses an intent to convert or exchange one currency for another. The core purpose is to teach the model to recognize the underlying concept of currency conversion, regardless of whether the user specifies a particular method or platform (e.g., ""via app""). By learning to pinpoint this fundamental user need, the model will be better equipped to accurately classify more specific queries like `exchange_via_app`, as it will understand the primary intent before attempting to determine the requested method. This helps in building a robust understanding of financial operations related to foreign exchange.

*   **Label:** `currency_conversion_request`
*   **Examples:**
    *   `{text: ""How do I change my Euros to US Dollars?"", label: ""currency_conversion_request""}`
    *   `{text: ""I'd like to convert some GBP to JPY."", label: ""currency_conversion_request""}`
    *   `{text: ""What are the rates for currency exchange?"", label: ""currency_conversion_request""}`
    *   `{text: ""Do you offer foreign currency conversion?"", label: ""currency_conversion_request""}`";13.5;4
AmountFeeDetection57;"**Auxiliary Task 1: Identify queries that specifically mention or question a monetary amount or fee.**

**Task Description:**
This auxiliary task involves classifying customer queries that explicitly contain or inquire about specific monetary amounts, charges, fees, costs, or values. The goal is to train the LLM to recognize patterns where customers are concerned with, or are seeking information about, financial figures. This includes mentions of specific dollar amounts ($1, $50), currency units (pound, USD, GBP), or terms like ""charge,"" ""fee,"" ""cost,"" ""rate,"" ""amount,"" especially when linked to transactions, statements, or services.

**Why this is helpful:**
*   **Directly supports `extra_charge_on_statement`:** This target category is inherently about an unexpected or questioned monetary charge. Training on this auxiliary task will significantly improve the model's ability to identify the core semantic elements of such queries.
*   **Improves financial language understanding:** It helps the model develop a robust understanding of financial terminology related to costs, pricing, and specific amounts, which is crucial across many financial service queries.
*   **Differentiates from other categories:** By honing in on monetary mentions, it helps the model distinguish `extra_charge_on_statement` from `compromised_card` (which focuses on unauthorized *activity* rather than the amount itself) or `exchange_via_app` (which focuses on the *process* of exchange, even if amounts are mentioned).
*   **Generalizes to related concepts:** The ability to identify monetary queries can generalize to other financial categories like `declined_card_payment` (where the payment *amount* is often central) or queries about account balance, pricing, and transaction values.";14.0;7
`security_detect`58;"Here is the task description for Auxiliary Task 2:

**Task Description for Auxiliary Task 2: `security_concern`**

This auxiliary task trains the LLM to identify queries that express a general concern about security, potential fraud, or any unauthorized activity related to their account or financial instruments. The objective is to enable the model to recognize a broader spectrum of language associated with security risks, beyond just direct mentions of ""compromised card"" or ""fraudulent activity."" By learning to detect underlying security concerns, the model can more accurately classify queries like `compromised_card` even when the phrasing is indirect, as well as developing a general understanding of security-related user intent which can be beneficial across various customer service scenarios.";13.5;4
app_usage_query59;"**Task Description for Auxiliary Task 3:**

This task trains the LLM to identify queries where customers are asking for information or instructions on how to perform a specific action or utilize a feature *within the mobile application* (or equivalent digital platform). It helps the model recognize phrases that indicate interaction with an app interface, such as ""can I use this app to..."", ""how do I in the app..."", or references to ""mobile banking tool,"" regardless of the specific financial action being inquired about. By mastering `app_functionality_query`, the LLM can more effectively classify queries like `exchange_via_app` by accurately isolating the ""app-specific"" intent from the general ""exchange"" intent, and also transfer this understanding to other app-related customer queries that might arise.";13.8;5
